dfa,9959883,9915,191,365
dfb,9996467,7785,116,181
dfc,9762601,9538,202,292
dfd,9674996,10942,99,241
dfe,9885398,8379,92,168
dff,9867351,8736,52,87
dfg,9686995,9166,211,383
dga,9953057,9562,5,8
dgb,9999405,9427,74,125
dgc,9540843,8397,75,133
dgd,9568515,9084,69,101
dge,9885884,10031,21,51
dgf,9912319,8119,13,27
dgg,9966373,8800,14,55
eaa,9919854,8236,259,422
eab,9898819,8191,321,475
eac,9966699,8635,181,397
ead,9944712,9608,5,12
eae,9723647,8777,276,390
eaf,9976261,8776,46,120
eag,9643961,10013,49,123
eba,9918474,10184,152,208
ebb,9910847,10817,184,296
ebc,9896712,9443,82,189
ebd,9225161,9642,220,435
ebe,9970674,9150,7,29
ebf,9903866,8929,45,140
ebg,9987120,10794,102,225
eca,9818120,8673,61,119
ecb,9827550,10155,11,34
ecc,9814354,8993,44,88
ecd,9772725,9292,88,146
ece,9964050,9827,55,233
ecf,9958855,8698,16,61
ecg,9951391,8423,80,150
eda,9798258,9179,129,205
edb,9807634,8314,365,604
edc,9997795,9938,9,25
edd,9990980,8679,28,95
ede,9881148,8890,106,193
edf,9192250,9672,88,131
edg,9551201,8740,185,339
eea,9961542,8634,207,529
eeb,9867611,8986,242,392
eec,9871652,7768,217,388
eed,9870213,8358,160,259
eee,9980239,8668,108,163
eef,9799433,7989,112,183
eeg,9484833,9326,88,182
efa,9480462,8085,36,56
efb,9919578,8602,58,136
efc,9966786,7553,181,292
efd,9942076,8040,72,166
efe,9518665,9235,55,148
eff,9741205,7804,247,392
efg,9940396,9936,183,296
ega,9665335,8911,48,126
egb,9989553,8201,54,93
egc,9748169,8037,144,270
egd,9970512,7087,69,182
ege,9107633,9419,103,230
egf,9975677,9299,63,272
egg,9855833,9986,112,267
faa,9230568,8810,5,11
fab,9473750,8934,146,260
fac,9836696,10197,61,128
fad,9685159,9820,5,9
fae,9887935,9125,914,2192
faf,9950418,9569,135,284
fag,9993481,9215,28,113
fba,9566046,10076,228,407
fbb,9652403,9249,13,42
fbc,9948374,9680,49,137
fbd,9943616,8473,66,143
fbe,9904294,7738,93,145
fbf,9706233,8503,173,302
fbg,9844094,8110,144,226
fca,9964681,7716,80,249
fcb,9759056,11228,15,39
fcc,9933163,9337,124,265
fcd,9799713,9339,498,763
fce,9847685,7671,49,100
fcf,9751641,8553,103,210
fcg,9972623,8165,51,83
fda,9574527,8264,40,86
fdb,9917543,6465,194,315
fdc,9908618,8465,66,128
fdd,9972019,8967,105,177
fde,9871912,9014,30,60
fdf,9754276,10143,13,55
fdg,9904758,8404,142,233
fea,9867891,9578,118,183
feb,9837216,10239,25,54
fec,9966264,8258,135,299
fed,9946884,8897,146,298
fee,9470620,9192,374,607
fef,9988084,7361,17,54
feg,9413702,10490,98,211
ffa,9669959,9723,166,322
ffb,9986574,10321,160,264
ffc,9924172,8884,406,765
ffd,9941261,9243,90,165
ffe,9637587,10489,125,267
fff,9975652,9207,43,105
ffg,9997065,7285,135,208
fga,9458796,9177,32,118
fgb,9926322,7206,60,118
fgc,9861755,9435,78,187
fgd,9848125,9124,424,652
fge,9942252,9066,18,27
fgf,9811883,9242,198,342
fgg,9968787,8558,174,268
gaa,9120099,8888,67,183
gab,9782728,10399,133,293
gac,9889955,9532,80,224
gad,9985602,8995,92,192
gae,9823427,8661,79,178
gaf,9721889,10558,55,111
gag,9805415,8338,309,421
gba,9910216,8790,142,222
gbb,9715130,10276,1017,2129
gbc,9950289,9126,118,183
gbd,9909443,8203,189,276
gbe,9807016,9638,63,128
gbf,9901849,8573,6,17
gbg,9834155,7942,384,621
gca,9922078,10569,113,314
gcb,9895967,8051,48,77
gcc,9998605,9044,122,317
gcd,9972198,9733,34,75
gce,9971512,8614,381,667
gcf,9801312,8932,140,354
gcg,9905635,7498,90,261
gda,9572516,7479,162,335
gdb,9783063,9372,246,480
gdc,9620348,11283,306,571
gdd,9829092,8347,33,69
gde,9982198,10307,41,155
gdf,9650667,10014,130,232
gdg,9868088,11544,5,11
gea,9992705,7846,9,35
geb,9743486,9028,149,292
gec,9955351,8984,130,271
ged,9913857,8391,45,145
gee,9985874,8087,19,41
gef,9947908,8712,6,15
geg,9907449,7646,131,324
gfa,9817976,8744,20,83
gfb,9584199,9304,35,110
gfc,9736631,9407,89,209
gfd,9677918,7544,87,266
gfe,9734925,11378,88,190
gff,9715578,7180,126,189
gfg,9766069,10249,43,88
gga,9987489,9991,103,256
ggb,9956272,9329,76,126
ggc,9951952,8867,125,189
ggd,9858695,8364,12,32
gge,9999620,9255,59,109
ggf,9960229,8691,27,54
ggg,9968703,9241,181,424
